"neighbors","training_error","test_error"
1,0,16
2,7.5,14
3,6.16666666666667,15
4,8,19
5,8.66666666666667,16
6,10.1666666666667,17
7,11.3333333333333,18
8,12.5,14
9,13.5,14
10,12.6666666666667,13
