"neighbors","training_error","test_error"
1,0,6
2,2.93333333333333,6.9
3,2.85,5.8
4,3.83333333333333,5.7
5,4.13333333333333,5.8
6,4.66666666666667,5.8
7,4.81666666666667,6.6
8,5.13333333333333,6.7
9,5.5,6.6
10,5.85,7
