"neighbors","training_error","test_error"
1,0,8
2,5.5,11.5
3,5.66666666666667,8
4,5.75,11.5
5,7.91666666666667,13
6,8.75,12.5
7,9.91666666666667,11
8,10.1666666666667,14.5
9,11.25,14
10,11.0833333333333,16
11,11.6666666666667,14.5
12,11.75,16
13,11.5833333333333,16
14,13.0833333333333,14
15,13.1666666666667,14.5
16,13.0833333333333,14.5
17,13.1666666666667,15.5
18,12.9166666666667,15.5
19,13,14.5
20,13.5,14.5
