"neighbors","training_error","test_error"
1,0,8.4
2,3.93333333333333,9
3,3.83333333333333,8.2
4,4.76666666666667,7.6
5,5.3,7
6,5.56666666666667,7.2
7,5.86666666666667,7.2
8,6.06666666666667,8.2
9,6.5,8
10,6.63333333333333,8.2
