"neighbors","training_error","test_error"
1,0,8.5
2,4.75,9.5
3,4.91666666666667,7.5
4,6.83333333333333,8
5,7.58333333333333,8
6,8.91666666666667,10
7,9.41666666666667,8
8,10.3333333333333,7.5
9,9.91666666666667,6.5
10,10.1666666666667,6.5
