"gamma","etrain","etest"
1e-06,49.6688741721854,25.8706467661692
1.02329299228075e-06,49.6688741721854,25.8706467661692
1.0471285480509e-06,49.6688741721854,25.8706467661692
1.07151930523761e-06,49.6688741721854,25.8706467661692
1.09647819614319e-06,49.6688741721854,25.8706467661692
1.12201845430196e-06,49.6688741721854,25.8706467661692
1.14815362149688e-06,49.6688741721854,25.8706467661692
1.17489755493953e-06,49.6688741721854,25.8706467661692
1.20226443461741e-06,49.6688741721854,25.8706467661692
1.23026877081238e-06,49.6688741721854,25.8706467661692
1.25892541179417e-06,49.6688741721854,25.8706467661692
1.28824955169313e-06,49.6688741721854,25.8706467661692
1.31825673855641e-06,49.6688741721854,25.8706467661692
1.34896288259165e-06,49.6688741721854,25.8706467661692
1.38038426460288e-06,49.6688741721854,25.8706467661692
1.41253754462276e-06,49.6688741721854,25.8706467661692
1.44543977074593e-06,49.6688741721854,25.8706467661692
1.47910838816821e-06,49.6688741721854,25.8706467661692
1.51356124843621e-06,49.6688741721854,25.8706467661692
1.54881661891248e-06,49.6688741721854,25.8706467661692
1.58489319246111e-06,49.6688741721854,25.8706467661692
1.62181009735893e-06,49.6688741721854,25.8706467661692
1.65958690743756e-06,49.6688741721854,25.8706467661692
1.69824365246175e-06,49.6688741721854,25.8706467661692
1.73780082874938e-06,49.6688741721854,25.8706467661692
1.77827941003892e-06,49.6688741721854,25.8706467661692
1.81970085860998e-06,49.6688741721854,25.8706467661692
1.86208713666287e-06,49.6688741721854,25.8706467661692
1.90546071796325e-06,49.6688741721854,25.8706467661692
1.94984459975805e-06,49.6688741721854,25.8706467661692
1.99526231496888e-06,49.6688741721854,25.8706467661692
2.04173794466953e-06,49.6688741721854,25.8706467661692
2.08929613085404e-06,49.6688741721854,25.8706467661692
2.13796208950223e-06,49.6688741721854,25.8706467661692
2.18776162394955e-06,49.6688741721854,25.8706467661692
2.23872113856834e-06,49.6688741721854,25.8706467661692
2.29086765276777e-06,49.6688741721854,25.8706467661692
2.34422881531992e-06,49.6688741721854,25.8706467661692
2.39883291901949e-06,49.6688741721854,25.8706467661692
2.45470891568503e-06,49.6688741721854,25.8706467661692
2.51188643150958e-06,49.6688741721854,25.8706467661692
2.57039578276886e-06,49.6688741721854,25.8706467661692
2.63026799189538e-06,49.6688741721854,25.8706467661692
2.69153480392691e-06,49.6688741721854,25.8706467661692
2.75422870333817e-06,49.6688741721854,25.8706467661692
2.81838293126446e-06,49.6688741721854,25.8706467661692
2.88403150312661e-06,49.6688741721854,25.8706467661692
2.95120922666638e-06,49.6688741721854,25.8706467661692
3.01995172040202e-06,49.6688741721854,25.8706467661692
3.09029543251359e-06,49.6688741721854,25.8706467661692
3.16227766016838e-06,49.6688741721854,25.8706467661692
3.23593656929628e-06,49.6688741721854,25.8706467661692
3.31131121482591e-06,49.6688741721854,25.8706467661692
3.38844156139203e-06,48.3443708609271,25.8706467661692
3.46736850452532e-06,47.682119205298,25.8706467661692
3.54813389233575e-06,47.682119205298,25.8706467661692
3.63078054770102e-06,47.682119205298,24.8756218905473
3.71535229097173e-06,47.682119205298,24.8756218905473
3.80189396320561e-06,47.682119205298,24.8756218905473
3.89045144994281e-06,47.682119205298,24.8756218905473
3.98107170553497e-06,47.682119205298,24.8756218905473
4.07380277804113e-06,47.682119205298,24.8756218905473
4.16869383470335e-06,47.682119205298,23.8805970149254
4.26579518801593e-06,45.6953642384106,23.3830845771144
4.36515832240166e-06,45.6953642384106,22.8855721393035
4.46683592150963e-06,45.0331125827815,22.3880597014925
4.57088189614875e-06,45.0331125827815,21.3930348258706
4.67735141287198e-06,43.7086092715232,20.8955223880597
4.78630092322638e-06,43.046357615894,19.4029850746269
4.89778819368447e-06,42.3841059602649,19.4029850746269
5.01187233627272e-06,41.0596026490066,18.9054726368159
5.12861383991365e-06,39.7350993377483,19.4029850746269
5.24807460249772e-06,37.0860927152318,19.4029850746269
5.37031796370253e-06,35.7615894039735,20.3980099502488
5.49540873857625e-06,34.4370860927152,17.910447761194
5.62341325190349e-06,32.4503311258278,17.910447761194
5.75439937337157e-06,29.8013245033113,21.3930348258706
5.88843655355588e-06,29.1390728476821,23.3830845771144
6.02559586074358e-06,27.1523178807947,26.865671641791
6.16595001861482e-06,29.1390728476821,29.3532338308458
6.30957344480193e-06,28.476821192053,28.8557213930348
6.45654229034656e-06,27.8145695364238,29.3532338308458
6.60693448007596e-06,25.8278145695364,29.3532338308458
6.76082975391982e-06,25.8278145695364,28.8557213930348
6.91830970918936e-06,25.8278145695364,28.3582089552239
7.07945784384137e-06,25.8278145695364,27.8606965174129
7.24435960074991e-06,24.5033112582781,27.8606965174129
7.41310241300918e-06,23.841059602649,27.8606965174129
7.58577575029184e-06,23.841059602649,27.8606965174129
7.76247116628691e-06,23.841059602649,27.8606965174129
7.94328234724282e-06,23.841059602649,27.8606965174129
8.12830516164099e-06,23.841059602649,27.8606965174129
8.31763771102671e-06,23.841059602649,27.8606965174129
8.51138038202376e-06,23.1788079470199,27.363184079602
8.70963589956081e-06,24.5033112582781,26.865671641791
8.91250938133746e-06,24.5033112582781,26.865671641791
9.1201083935591e-06,24.5033112582781,26.865671641791
9.33254300796991e-06,23.841059602649,26.865671641791
9.54992586021437e-06,24.5033112582781,27.8606965174129
9.77237220955811e-06,24.5033112582781,27.363184079602
1e-05,23.1788079470199,26.865671641791
1.02329299228075e-05,23.841059602649,26.865671641791
1.0471285480509e-05,23.841059602649,26.865671641791
1.07151930523761e-05,24.5033112582781,26.865671641791
1.09647819614319e-05,24.5033112582781,26.865671641791
1.12201845430196e-05,24.5033112582781,26.865671641791
1.14815362149688e-05,24.5033112582781,26.865671641791
1.17489755493953e-05,23.841059602649,26.865671641791
1.20226443461741e-05,23.841059602649,26.865671641791
1.23026877081238e-05,23.841059602649,26.865671641791
1.25892541179417e-05,23.841059602649,26.865671641791
1.28824955169313e-05,24.5033112582781,26.865671641791
1.31825673855641e-05,24.5033112582781,26.865671641791
1.34896288259165e-05,24.5033112582781,26.865671641791
