"itrn","etrain","etest"
1,0.139072847682119,0.0746268656716418
2,0.125827814569536,0.373134328358209
3,0.0927152317880795,0.129353233830846
4,0.0728476821192053,0.218905472636816
5,0.0662251655629139,0.159203980099503
6,0.0529801324503312,0.164179104477612
7,0.0264900662251656,0.149253731343284
8,0.0264900662251656,0.159203980099503
9,0.00662251655629142,0.124378109452736
10,0.0132450331125827,0.119402985074627
11,0,0.124378109452736
12,0,0.114427860696517
13,0,0.119402985074627
14,0,0.129353233830846
15,0,0.114427860696517
16,0,0.124378109452736
17,0,0.129353233830846
18,0,0.104477611940298
19,0,0.119402985074627
20,0,0.099502487562189
21,0,0.099502487562189
22,0,0.104477611940298
23,0,0.109452736318408
24,0,0.104477611940298
25,0,0.104477611940298
26,0,0.099502487562189
27,0,0.099502487562189
28,0,0.0945273631840796
29,0,0.0895522388059702
30,0,0.0895522388059702
31,0,0.0945273631840796
32,0,0.0895522388059702
33,0,0.0895522388059702
34,0,0.0746268656716418
35,0,0.0696517412935324
36,0,0.0895522388059702
37,0,0.0796019900497512
38,0,0.0845771144278606
39,0,0.0796019900497512
40,0,0.0895522388059702
41,0,0.0895522388059702
42,0,0.0895522388059702
43,0,0.0646766169154229
44,0,0.0845771144278606
45,0,0.0646766169154229
46,0,0.0646766169154229
47,0,0.0646766169154229
48,0,0.0746268656716418
49,0,0.0696517412935324
50,0,0.0696517412935324
51,0,0.0696517412935324
52,0,0.0746268656716418
53,0,0.0845771144278606
54,0,0.0746268656716418
55,0,0.0796019900497512
56,0,0.0696517412935324
57,0,0.0746268656716418
58,0,0.0796019900497512
59,0,0.0696517412935324
60,0,0.0696517412935324
61,0,0.0696517412935324
62,0,0.0696517412935324
63,0,0.0696517412935324
64,0,0.0696517412935324
65,0,0.0646766169154229
66,0,0.0746268656716418
67,0,0.0696517412935324
68,0,0.0696517412935324
69,0,0.0646766169154229
70,0,0.0646766169154229
71,0,0.0597014925373134
72,0,0.0597014925373134
73,0,0.0597014925373134
74,0,0.0646766169154229
75,0,0.0597014925373134
76,0,0.0646766169154229
77,0,0.0646766169154229
78,0,0.0646766169154229
79,0,0.0597014925373134
80,0,0.0646766169154229
81,0,0.0646766169154229
82,0,0.0646766169154229
83,0,0.0746268656716418
84,0,0.0696517412935324
85,0,0.0696517412935324
86,0,0.0796019900497512
87,0,0.0845771144278606
88,0,0.0845771144278606
89,0,0.0945273631840796
90,0,0.0945273631840796
91,0,0.0945273631840796
92,0,0.0945273631840796
93,0,0.0945273631840796
94,0,0.0895522388059702
95,0,0.0895522388059702
96,0,0.0746268656716418
97,0,0.0746268656716418
98,0,0.0796019900497512
99,0,0.0895522388059702
100,0,0.0945273631840796
101,0,0.0895522388059702
102,0,0.0945273631840796
103,0,0.0945273631840796
104,0,0.0945273631840796
105,0,0.0895522388059702
106,0,0.0895522388059702
107,0,0.0845771144278606
108,0,0.0796019900497512
109,0,0.0746268656716418
110,0,0.0796019900497512
111,0,0.0746268656716418
112,0,0.0696517412935324
113,0,0.0746268656716418
114,0,0.0696517412935324
115,0,0.0796019900497512
116,0,0.0696517412935324
117,0,0.0746268656716418
118,0,0.0696517412935324
119,0,0.0796019900497512
120,0,0.0696517412935324
121,0,0.0696517412935324
122,0,0.0696517412935324
123,0,0.0696517412935324
124,0,0.0646766169154229
125,0,0.0646766169154229
126,0,0.0646766169154229
127,0,0.0746268656716418
128,0,0.0696517412935324
129,0,0.0746268656716418
130,0,0.0696517412935324
131,0,0.0696517412935324
132,0,0.0696517412935324
133,0,0.0845771144278606
134,0,0.0796019900497512
135,0,0.0845771144278606
136,0,0.0845771144278606
137,0,0.0796019900497512
138,0,0.0796019900497512
139,0,0.0746268656716418
140,0,0.0796019900497512
141,0,0.0796019900497512
142,0,0.0845771144278606
143,0,0.0746268656716418
144,0,0.0746268656716418
145,0,0.0746268656716418
146,0,0.0746268656716418
147,0,0.0796019900497512
148,0,0.0746268656716418
149,0,0.0746268656716418
150,0,0.0746268656716418
151,0,0.0746268656716418
152,0,0.0746268656716418
153,0,0.0746268656716418
154,0,0.0746268656716418
155,0,0.0746268656716418
156,0,0.0746268656716418
157,0,0.0696517412935324
158,0,0.0696517412935324
159,0,0.0696517412935324
160,0,0.0646766169154229
161,0,0.0696517412935324
162,0,0.0597014925373134
163,0,0.0646766169154229
164,0,0.0597014925373134
165,0,0.0696517412935324
166,0,0.0696517412935324
167,0,0.0696517412935324
168,0,0.0646766169154229
169,0,0.0597014925373134
170,0,0.0646766169154229
171,0,0.0646766169154229
172,0,0.0646766169154229
173,0,0.0646766169154229
174,0,0.0646766169154229
175,0,0.0746268656716418
176,0,0.0746268656716418
177,0,0.0746268656716418
178,0,0.0646766169154229
179,0,0.0696517412935324
180,0,0.0696517412935324
181,0,0.0696517412935324
182,0,0.0696517412935324
183,0,0.0696517412935324
184,0,0.0696517412935324
185,0,0.0746268656716418
186,0,0.0696517412935324
187,0,0.0696517412935324
188,0,0.0696517412935324
189,0,0.0696517412935324
190,0,0.0696517412935324
191,0,0.0746268656716418
192,0,0.0646766169154229
193,0,0.0696517412935324
194,0,0.0646766169154229
195,0,0.0746268656716418
196,0,0.0646766169154229
197,0,0.0646766169154229
198,0,0.0646766169154229
199,0,0.0646766169154229
200,0,0.0646766169154229
201,0,0.0696517412935324
202,0,0.0696517412935324
203,0,0.0746268656716418
204,0,0.0696517412935324
205,0,0.0696517412935324
206,0,0.0696517412935324
