"","fvals","trainerr","testerr"
"1",1132.76091019192,35.8208955223881,29.1390728476821
"2",1219.85111581758,41.7910447761194,96.0264900662252
"3",1040.14224921709,38.3084577114428,98.0132450331126
"4",1342.0074060175,35.8208955223881,31.7880794701987
"5",1559.60061958989,37.8109452736318,98.6754966887417
"6",1138.92054917625,46.2686567164179,82.7814569536424
"7",994.917107403586,20.3980099502488,47.0198675496689
"8",1011.04748214711,21.3930348258706,35.7615894039735
"9",1522.40248660422,20.8955223880597,37.0860927152318
"10",1341.6180072086,30.8457711442786,42.3841059602649
"11",1318.74615389823,37.8109452736318,94.0397350993377
"12",1162.33267689217,27.363184079602,49.0066225165563
"13",1411.50899541043,30.3482587064677,56.953642384106
"14",1204.71125319592,23.3830845771144,45.0331125827815
"15",1004.90537355148,35.3233830845771,95.364238410596
"16",1100.17253963843,45.273631840796,97.3509933774834
"17",1383.56803716215,37.3134328358209,33.7748344370861
"18",1059.92000872167,16.9154228855721,47.0198675496689
"19",993.086640972145,41.7910447761194,87.4172185430464
"20",1087.3895325818,39.3034825870647,98.6754966887417
"21",1076.08715468252,39.3034825870647,74.1721854304636
"22",1116.85989721318,23.8805970149254,38.4105960264901
"23",829.137462093528,25.8706467661692,41.7218543046358
"24",1193.45521752217,31.3432835820896,51.6556291390729
"25",932.935539278923,28.8557213930348,70.1986754966887
"26",1882.70085795404,36.318407960199,31.1258278145695
"27",1060.25968355548,37.8109452736318,99.3377483443709
"28",1194.10623197902,30.3482587064677,58.9403973509934
"29",969.959075460087,38.3084577114428,88.0794701986755
"30",1068.84813587544,23.3830845771144,45.6953642384106
"31",1019.79239955128,39.8009950248756,100
"32",975.659600276894,26.3681592039801,33.112582781457
"33",1036.04013802969,39.3034825870647,86.0927152317881
"34",1270.89482841812,17.4129353233831,23.1788079470199
"35",1241.74525158151,36.81592039801,43.7086092715232
"36",1157.78793342546,24.8756218905473,35.0993377483444
"37",1350.66879070613,39.3034825870647,100.662251655629
"38",1072.81939344837,28.3582089552239,45.6953642384106
"39",1243.51123738592,17.4129353233831,19.205298013245
"40",1255.88095299603,36.318407960199,82.1192052980132
"41",1110.44766364157,33.3333333333333,86.7549668874172
"42",930.176334852681,30.3482587064677,41.7218543046358
"43",1072.78293077606,36.81592039801,90.0662251655629
"44",1194.25691829551,40.7960199004975,68.2119205298013
"45",960.411752092334,41.2935323383085,101.324503311258
"46",1146.35185117511,37.8109452736318,98.6754966887417
"47",2531.34355579442,37.3134328358209,34.4370860927152
"48",1398.9279033124,45.273631840796,74.1721854304636
"49",1168.27293880183,39.8009950248756,96.6887417218543
"50",1130.81234121608,18.9054726368159,25.1655629139073
"51",935.020292196786,18.9054726368159,37.7483443708609
"52",939.422989237808,25.8706467661692,68.2119205298013
"53",1329.95306695325,51.7412935323383,86.7549668874172
"54",1341.05215197883,37.8109452736318,98.6754966887417
"55",1119.51294301727,44.2786069651741,84.1059602649007
"56",904.437640861451,16.4179104477612,47.0198675496689
"57",1011.89640905586,19.9004975124378,39.0728476821192
"58",1012.04673405769,21.8905472636816,47.0198675496689
"59",871.951551909809,23.8805970149254,18.5430463576159
"60",1186.97596316809,27.363184079602,43.7086092715232
"61",918.325544780074,28.8557213930348,50.9933774834437
"62",1356.61796588066,18.9054726368159,31.1258278145695
"63",1097.35520092095,39.8009950248756,91.3907284768212
"64",1388.62464845123,38.3084577114428,101.986754966887
"65",1300.99149717176,15.9203980099502,22.5165562913907
"66",1293.06723619124,34.3283582089552,47.682119205298
"67",1070.42530921676,23.3830845771144,45.6953642384106
"68",1130.71046319777,22.8855721393035,42.3841059602649
"69",1095.33926864464,36.318407960199,99.3377483443709
"70",866.5750947523,19.9004975124378,50.9933774834437
"71",1133.62908485439,32.8358208955224,30.4635761589404
"72",1162.98143685681,32.8358208955224,48.3443708609271
"73",1307.95473312907,18.407960199005,20.5298013245033
"74",1106.88342610562,40.7960199004975,100.662251655629
"75",966.679348296594,27.363184079602,64.9006622516556
"76",1115.70344261256,35.8208955223881,84.7682119205298
"77",1026.60435394156,20.8955223880597,49.6688741721854
"78",1100.19458173794,24.8756218905473,49.6688741721854
"79",1039.7403208891,24.3781094527363,65.5629139072848
"80",926.645397303714,27.8606965174129,38.4105960264901
"81",1224.29244839759,45.273631840796,82.1192052980132
"82",1206.72910997605,39.8009950248756,71.523178807947
"83",1296.57544141867,29.8507462686567,34.4370860927152
"84",970.624873470821,39.8009950248756,56.2913907284768
"85",1062.56333022869,31.3432835820896,28.476821192053
"86",1202.59907077227,36.318407960199,35.0993377483444
"87",1108.16637539127,36.318407960199,91.3907284768212
"88",1237.12749002066,44.2786069651741,78.1456953642384
"89",1011.20078177279,31.3432835820896,87.4172185430464
"90",866.045421302471,19.4029850746269,60.9271523178808
"91",1058.57188583743,40.2985074626866,57.6158940397351
"92",1384.556289187,23.8805970149254,52.317880794702
"93",1021.36299150891,50.2487562189055,103.311258278146
"94",1343.69602248735,35.8208955223881,31.7880794701987
"95",1032.26627188941,38.3084577114428,99.3377483443709
"96",1199.14569876758,25.3731343283582,42.3841059602649
"97",1344.00614446863,35.8208955223881,31.7880794701987
"98",1454.69916417338,21.3930348258706,25.1655629139073
"99",1085.00927896586,46.7661691542289,85.4304635761589
"100",998.806246584814,21.3930348258706,39.7350993377483
"101",1255.43547590165,37.3134328358209,99.3377483443709
"102",1035.28671510069,34.3283582089552,31.7880794701987
"103",994.487493446209,34.8258706467662,96.6887417218543
"104",895.87615003976,34.3283582089552,86.7549668874172
"105",1405.29378966861,23.3830845771144,49.0066225165563
